Sample Abbey had a Black mold, 699 reads, and had no mutations.
Sample Adelaide had a Orange mold, 548 reads, and had no mutations.
Sample Alana had a Black mold, 581 reads, and had no mutations.
Sample Arabella had a Black mold, 519 reads, and had no mutations.
Sample Arianna had a Orange mold, 301 reads, and had no mutations.
Sample Bobby had a Black mold, 387 reads, and had no mutations.
Sample Brayden had a Black mold, 566 reads, and had no mutations.
Sample Bridget had a Orange mold, 600 reads, and had no mutations.
Sample Bruce had a Orange mold, 547 reads, and had no mutations.
Sample Byron had a Orange mold, 431 reads, and had no mutations.
Sample Cali had a Orange mold, 467 reads, and had no mutations.
Sample Camilla had a Orange mold, 441 reads, and had no mutations.
Sample Case had a Black mold, 388 reads, and had no mutations.
Sample Cason had a Black mold, 588 reads, and had no mutations.
Sample Damien had a Black mold, 570 reads, and had no mutations.
Sample Dania had a Black mold, 626 reads, and had no mutations.
Sample Dereon had a Orange mold, 322 reads, and had no mutations.
Sample Destiney had a Orange mold, 683 reads, and had no mutations.
Sample Dominik had a Black mold, 381 reads, and had no mutations.
Sample Gabrielle had a Orange mold, 334 reads, and had no mutations.
Sample Giancarlo had a Orange mold, 499 reads, and had no mutations.
Sample Greta had a Black mold, 315 reads, and had no mutations.
Sample Israel had a Orange mold, 395 reads, and had no mutations.
Sample Javion had a Orange mold, 532 reads, and had no mutations.
Sample Jaylen had a Black mold, 329 reads, and had no mutations.
Sample Jazlyn had a Yellow mold, 526 reads, and had no mutations.
Sample Jordyn had a Black mold, 464 reads, and had no mutations.
Sample Jordyna had a Yellow mold, 305 reads, and had no mutations.
Sample Joshua had a Black mold, 460 reads, and had no mutations.
Sample Justus had a Black mold, 575 reads, and had no mutations.
Sample Kamden had a Orange mold, 625 reads, and had no mutations.
Sample Karlee had a Yellow mold, 641 reads, and had no mutations.
Sample Kayla had a Yellow mold, 593 reads, and had no mutations.
Sample Keaton had a Green mold, 442 reads, and had no mutations.
Sample Kian had a Green mold, 372 reads, and had no mutations.
Sample Kirsten had a Black mold, 313 reads, and had no mutations.
Sample Libby had a Yellow mold, 306 reads, and had no mutations.
Sample Lorelei had a Orange mold, 352 reads, and had no mutations.
Sample Mariela had a Yellow mold, 523 reads, and had no mutations.
Sample Martin had a Green mold, 588 reads, and had no mutations.
Sample Mckayla had a Green mold, 620 reads, and had no mutations.
Sample Mckenzie had a Black mold, 342 reads, and had no mutations.
Sample Natalia had a Green mold, 683 reads, and had no mutations.
Sample Santiago had a Orange mold, 671 reads, and had no mutations.
Sample Sarai had a Black mold, 480 reads, and had no mutations.
Sample Serena had a Green mold, 468 reads, and had no mutations.
Sample Shelby had a Yellow mold, 466 reads, and had no mutations.
Sample Sienna had a Green mold, 536 reads, and had no mutations.
Sample Terry had a Orange mold, 694 reads, and had no mutations.
Sample Tristian had a Black mold, 393 reads, and had no mutations.
